YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,WD10M
1985,6,11,32.05,23.96,26.99,83.88,19.11,1.5,0.71,252.06
1985,6,12,30.13,23.32,26.19,84,3.37,1.55,1.08,194.12
1985,6,13,30.3,23.39,26.12,85.75,0.17,1.75,1,198.25
1985,6,14,29.22,23.49,25.76,86.81,0.06,1.69,0.95,191.12
1985,6,15,28.33,23.64,25.44,89.56,4.95,1.42,0.95,236.19
1985,6,16,29.73,22.78,25.6,85.5,0.29,1.55,1.06,243.69
1985,6,17,29.95,23.14,25.8,84.06,0.15,2.81,1.22,233.88
1985,6,18,28.74,23.1,25.36,86.56,0.13,2.57,1.26,235.31
1985,6,19,29.88,22.65,25.74,83.88,0.03,2.5,1.14,237.81
1985,6,20,30.16,23.14,26.02,84.19,0.01,1.68,0.91,228.06
1985,6,21,30.53,23.33,26.05,83.69,0.03,1.76,1.34,234.25
1985,6,22,30.12,22.29,25.82,82.75,0.12,2.4,1.12,227.69
1985,6,23,30.83,23.2,26.48,82.06,0.09,2.3,1.09,228.44
1985,6,24,30.03,23.35,25.92,83.25,0,2.27,1.04,224.44
1985,6,25,30.65,22.99,26.36,82.12,0.02,2.21,1.02,200.81
1985,6,26,30.33,23.34,26.17,83.38,0,1.95,1.06,202.12
1985,6,27,29.33,23.02,25.65,84.12,0,2.23,0.99,207.75
1985,6,28,30.44,22.7,26.04,80.25,0,1.97,1.09,215.31
1985,6,29,30,22.63,25.6,80.56,0.2,1.76,1.06,224.56
1985,6,30,30.3,22.61,25.98,77.94,0.16,1.52,0.84,233.75
1985,7,1,30.83,24.01,26.54,79.38,0.01,1.47,0.58,240.38
1985,7,2,29.94,23.42,26.1,82.75,0.45,1.7,0.8,246.56
1985,7,3,28.47,23.31,25.48,84.88,0.78,1.54,0.33,217.94
1985,7,4,30.65,23.29,26.45,78.94,0.17,1.45,0.09,168.5
1985,7,5,28.89,23.03,25.85,82.81,1.24,1.7,0.24,222.75
1985,7,6,30.4,23.98,26.44,78.69,0.29,1.52,0.05,239.56
1985,7,7,28.47,23.5,25.48,86.88,1.11,1.57,0.8,216.88
1985,7,8,28.81,22.8,25.37,87.62,16.1,1.57,0.95,220.38
1985,7,9,30.82,22.71,26.12,76.81,10.51,1.46,0.28,253.12
1985,7,10,31.76,23.59,26.77,72.81,2.96,1.3,0.14,187.38
1985,7,11,30.38,22.25,25.73,80.81,0.64,1.5,0.59,125.5
